batch_file,total_records,parsed_records,parse_errors,redis_records_fetched,pass_count,partial_count,fail_count,pass_rate,latest_reference,avg_overall_score,min_overall_score,max_overall_score,avg_task_completion,min_task_completion,max_task_completion,avg_tool_accuracy,min_tool_accuracy,max_tool_accuracy,avg_step_efficiency,min_step_efficiency,max_step_efficiency,avg_plan_adherence,min_plan_adherence,max_plan_adherence,avg_faithfulness,min_faithfulness,max_faithfulness
batch_results/deployer/batches__c14ar4nk63v1m6ktopsh9ff62tgcywwy1z1h.jsonl,9,9,0,8,7,1,1,0.7778,,7.6667,0.0,9.0,0.7778,0.0,1.0,0.8089,0.0,1.0,0.7333,0.0,0.9,0.8333,0.0,1.0,0.8889,0.0,1.0
batch_results/deployer/batches__l51080ntp78g8u80hp2kefjyne162ugyt182.jsonl,16,16,0,15,13,2,1,0.8125,system-prompts:deployer:20260411T082754Z,8.875,0.0,10.0,0.8125,0.0,1.0,0.9375,0.0,1.0,0.9,0.0,1.0,0.9187,0.0,1.0,0.9375,0.0,1.0
batch_results/deployer/batches__vzjgeoj74ipznjor1ecdqemzwe906rqyw548.jsonl,8,8,0,8,4,1,3,0.5,,6.875,3.0,9.5,0.5,0.0,1.0,0.8375,0.5,1.0,0.7375,0.4,1.0,0.9,0.6,1.0,1.0,1.0,1.0
